number,href,title,ingredients,preparation
804,https://veganuary.com/recipes/traditional-irish-pumpkin-brack/,Traditional Irish Pumpkin Brack,"A small bit of Pure soya butter for greasing
200g light muscavado sugar
200g grated pumpkin flesh (try squash either)
Finely grated zest and juice of 1 lemon
100g raisins
100g ground almonds
200g gluten free self-raising flour (normal flour will work too)
Pinch of salt
1tsp cinnamon
A generous grating of nutmeg
4 tbsp vinegar
4 tsp baking soda
The brine from one can of chickpeas","Method
Lightly grease a bread loaf tin (22 x 12cm or something like that) and line it with greaseproof paper/baking parchment. (I forgot to do this actually...) Weigh out and prepare all your ingredients. Add the lemon zest and juice, raisins and ground almonds to the pumpkin flesh in a large bowl. Add the baking soda to the vinegar in a food mixing bowl. Add the sugar to this and beat using an electric whisk for 2-3 minutes until pale and creamy. Add this to the pumpkin mixture and lightly stir. Sieve the flour and add to the mix along with the spices. Fold it all in together until well combined. Using an electric whisk beat the chickpea brine until it holds soft peaks like what egg whites would do. Stir a heaped tablespoon of this into the brack mixture to loosen it and then fold the rest in as lightly as possible. Pour the mixture into a prepared load tin and even out the surface. Bake it in the oven for around 1 hour at the temperature recommended. Check if ready by inserting a skewer or knife into the centre. It should come out clean, but if it doesn't, leave it in for longer and turn down the heat if it is starting to burn out the outside. Remove the loaf from the tin and leave in the oven at an even lower heat near the end to ensure thorough baking. Then let it cool on a wire rack before slicing. Don't be tempted to slice into it before it cools! It could fall apart! Enjoy with some soya butter and a cup of tea."
814,https://veganuary.com/recipes/cheese-on-toast-with-potato-and-carrot-cheese/,Cheese on Toast (with Potato and Carrot Cheese),"1 x large potato
1 x large carrot
(3 tablespoons of the potato/carrot water)
1/3 cup of oil (I use olive)
1/2 cup of nutritional yeast
Juice of half a lemon
Teaspoon of garlic powder/granules
Dash of celery salt or onion powder
Cracked pepper","Method
There are lots of recipes for potato cheese out there, but this is the one I have adapted from various different ones.
Peel one large potato and one large carrot
Chop into small chunks (carrot smaller than the potato as it is harder)
Boil until soft
Put 3 tablespoons of the potato water into a food processor
Drain potatoes and carrots and pour into the processor
Add: 1/3 cup of oil (I use olive), 1/2 cup of nutritional yeast, juice of half a lemon, teaspoon of garlic powder/granules, dash of celery salt/onion powder, cracked pepper
Blend!
You can eat this cheese straight away with tortilla chips, use as your cheese topping on pizza, or go for the all-time best comfort food - Cheese on Toast!
Grill your bread on one side, remove and spread liberally with the potato cheese, place back under grill."
824,https://veganuary.com/recipes/caramel-oat-bites/,Caramel Oat Bites,"200g dates, soaked in hot water for one hour
50g oats, plus extra to coat
1tbsp cashew nut butter","Preparation
Serves 20.
Method
Drain the dates then add them, along with the oats and cashew nut butter, to a food processor. Blend until they have formed a smooth, sticky paste. Place the mixture in the fridge for ten minutes - this will make it easier to roll into balls. Separate the mix into small portions, roll into balls and roll in the extra oats until they are fully coated. Store in the fridge."
864,https://simple-veganista.com/vanilla-chia-pudding/,Vanilla Chia Pudding,"2 cups unsweetened almond milk (use your favorite)
1/2 cup chia seeds
2 teaspoons vanilla extract, 1/2 teaspoon vanilla bean powder or seeds of 1 vanilla bean
1 - 2 tablespoons pure maple syrup or coconut, turbinado or organic pure cane sugar, optional","Instructions Combine: Place ingredients in container or bowl and mix well.
Mix twice: Mix the chia mixture after 5 minutes, then again after 5 minutes, mixing well each time. Mixing the chia seeds is important so they don't fall to the bottom of the container. If not shaken or stirred every now and then, the pudding will not set properly and the seeds will sink to the bottom.
Chill: Keep covered in the refrigerator until set. Will be ready in 3 - 4 hours.
Makes about 2 1/4 cups
Serve: Spoon into individual bowls or containers, and serve with fresh fruit, granola or whatever your heart desires that sounds good!
Store: Keep stored in the refrigerator for up to 5 - 6 days. For longer storage, keep in the freezer for up to 2 - 3 months. Let thaw in the refrigerator.
Serves 4"
904,https://simple-veganista.com/vegan-vegetable-frittata/,VEGETABLE VEGAN FRITTATA,"1 tablespoon olive oil or 1/4 cup water (for water saute)
2 medium potatoes, diced (with or without the skin)
1 small onion, diced
1 bell pepper, diced
1 zucchini, diced
2 cloves garlic, minced
handful grape tomatoes, halved or quartered
pinch of red pepper flakes, optional
mineral salt and pepper, to taste
for the blender/food processor
1 package (16 oz) organic silken tofu (soft or firm), drained (no pressing needed)
1/4 cup unsweetened non-dairy milk
2 heaping teaspoons cornstarch, arrowroot or tapioca flour
2 - 3 tablespoons nutritional yeast
1 teaspoon mustard (any kind) or 1/2 teaspoon mustard powder
1 1/2 teaspoons dried tarragon, thyme or basil (or a combo)
1/2 teaspoon garlic powder
1/2 teaspoon salt
1/4 teaspoon turmeric
1/8 teaspoon pepper (black or white)","Instructions Preheat oven to 375 degrees F.
Saute: Heat oil in a pan over medium heat, saute potatoes for 5 minutes, add onion and cook an additional 5 minutes. Add bell pepper, zucchini and garlic, cook until softened. Add tomatoes and optional red pepper flakes, cook another minute or two. Season with salt and pepper to taste.
Tofu egg: In a food processor/blender, combine the remaining ingredients and process until smooth. Taste for seasoning.
Assemble: Add the tofu mixture to the pan the vegetables cooked in and mix well. Spoon mixture into a lightly greased 9 inch round pie/quiche dish or springform pan. Level the top flat with the back of a spatula or spoon and make sure all edges are filled.
Bake: Place on the middle rack and bake for 35 - 45 minutes, frittata should be firm to the touch. If top starts to brown too much, cover with foil or small silpat. Remove and let cool for at least 10 minutes. If using a pie/quiche dish, loosen the edges of the frittata, place a plate over top and carefully flip so frittata falls onto the plate and serve (this step is optional).
This frittata is wonderful with sliced avocado and a little sriracha for heat.
Serves 4 - 6
Store: Leftovers can be stored in the refrigerator for 4 - 5 days. To keep longer, store in the freezer using freezer safe containers for up to 2 - 3 months."
934,https://simple-veganista.com/lemon-ginger-detox-tea_21/,LEMON GINGER DETOX TEA,"2 cups water
1 inch ginger, peeled and thinly sliced
1 large lemon, juice of
1/4 teaspoon turmeric (optional)
pinch of cayenne (optional)
1/4 teaspoon raw, coconut or organic sugar or maple syrup (optional)","Instructions Prep the ginger by using a vegetable peeler to remove the outer skin and thinly slice with a sharp knife.
Using a small pot or kettle, add the water, ginger, lemon juice, turmeric and cayenne, give a good stir. Place over medium-low to low heat and warm until steam comes up or whistle blows on the kettle.
Let rest for 5 minutes, pour into individual cups, add a little sweetener, and enjoy.
Serves 1 - 2"
1004,https://simple-veganista.com/peanut-butter-banana-granola-snack/,PEANUT BUTTER & BANANA GRANOLA CLUSTERS,"4 cups rolled oats
1 cup almonds
1/2 cup pepitas (pumpkin seeds)
1/2 teaspoon cinnamon
pinch of mineral salt
3/4 cup almond or peanut butter (I used crunchy almond butter)
2 small ripe bananas, mashed (about 1 cup)
1/2 cup pure maple syrup
1/4 cup coconut oil, optional
2 teaspoons vanilla extract","Instructions Prep: Preheat oven to 275 degrees F. Line a rimmed baking sheet with parchment paper or a silicone mat.
Dry ingredients: In a large bowl, mix the oats, almonds, pepitas, cinnamon, and salt.
Wet ingredients: Warm your coconut oil and maple syrup, combined with vanilla extract. Mash your bananas and measure your nut butter.
Mix wet & dry: Combine the wet ingredients with the oat mixture. Toss and mix to coat well.
Layer: Spread mixture evenly on a lined or lightly greased baking sheet (I used two baking sheets). You can either lightly compact the mixture or loosely spread it out a bit. If compacting, you'll want to mix the granola when rotating after 30 minutes.
Bake: Bake for 30 minutes. Turn and rotate sheet/sheets, bake for an additional 25 - 30 minutes. Keep an eye towards the end, so it doesn't over brown (ovens run differently), cover with foil if it starts to brown too much.
Let cool: Remove from oven, granola will be somewhat soft at first. Let cool for 15 minutes, break up into chunks, especially the center part if you've compacted the mixture. Let granola cool completely to harden.
Makes about 6 cups.
Store: Let cool completely before storing. Keep granola in covered containers on the counter for up to 2 weeks or in the refrigerator for up to 2 months."
1094,https://simple-veganista.com/southwestern-tofu-scramble/,SOUTHWEST TOFU SCRAMBLE,"1 tablespoon olive oil or 1/4 cup water for water saute
1 block (14 - 16 oz) organic tofu, firm or extra-firm
1/2 onion, diced
6 oz. mushrooms, sliced
1 cup broccoli florets
handful cherry tomatoes, whole or halved (or 1 large tomato, diced)
large handful greens (spinach, kale or chard)
1/2 teaspoon turmeric
1/2 teaspoon garlic powder
1/2 teaspoon cumin
1 teaspoon red pepper flakes or 1/4 teaspoon cayenne pepper
himalayan salt & pepper, to taste
1 or 2 tablespoons nutritional yeast, optional for a cheesy flavor
To serve
avocado
salsa or Pico de Gallo
cilantro, optional
sliced green onions, optional","Instructions Drain tofu. No need to press and get it all, we'll cook it long enough on the stove to remove the remaining moisture. Set tofu aside.
Saute onion: In a skillet or wok, heat oil on medium, add the onions and saute for 4 minutes.
Add tofu: Add tofu to the pan while crumbling chunks between your fingers, cook for 4 minutes.
Add veggies & spices: Add the mushrooms, broccoli, tomatoes, cumin, turmeric, garlic powder, salt, pepper and red pepper flakes, cook for 5 minutes.
Add leafy greens & 'nooch': Add the greens and nutritional yeast, stir and cook until the greens soften and wilt. Remove pan from heat.
Serve with salsa, avocado and season more to taste.
Serves 3 - 4
Store: Leftovers can be kept in the refrigerator for up to 4 days, in a covered container."
1114,https://simple-veganista.com/chocolate-cherry-smoothie/,Chocolate Cherry Smoothie,"2 cups frozen cherries
1 cup unsweetened almond milk (plain or vanilla)
2 tablespoons raw cacao powder (cocoa powder is ok too)
1 small medjool date (pitted and chopped) or 1 teaspoon pure maple syrup, optional
1 scoop protein powder (plain or vanilla) or 2 tablespoons almond butter, optional
optional toppings
granola
cacao nibs
hemp hearts","Instructions In blender, add ingredients and blend until smooth, adding a little extra milk as needed.
Serve with optional toppings and eat with a spoon or sip with a straw. Enjoy often!
Makes 1 generous, or 2 small, servings."
1154,https://simple-veganista.com/banana-french-toastyes-please/,VEGAN BANANA FRENCH TOAST,"1 large ripe banana
3/4 cup unsweetened almond milk, or milk of choice
1/4 teaspoon cinnamon, or to taste
dash of nutmeg, optional
1 teaspoon vanilla extract
vegan butter or coconut oil, for greasing
6 slices of French or sourdough loaf, cut 3/4 - 1 inch thick
pure maple syrup, for serving","Instructions Preheat: Heat your skillet on medium heat or griddle to manufacturer's instructions.
Bread: Slice your loaf of bread into 3/4 - 1 inch thick slices.
Mix: In a flat bottom, shallow medium bowl mash the banana until creamy and fairly smooth. Add the cinnamon, vanilla, optional nutmeg, and milk, stir until combined.
Dip: Using about 1 teaspoon of butter or oil, grease the griddle/skillet (do this each time you add a new batch). Quickly dip bread into the wet mixture and flip to coat the other side (do not let the slices soak, or you may have soggy french toast).
Cook: Place french toast sliced on the griddle and cook for 3 - 4 minutes on each side, or until golden.
Serve with pure maple syrup and fresh fruit of choice.
Serves 3"
