number,href,title,ingredients,preparation
639,https://veganuary.com/recipes/fermented-vegetables/,Fermented Vegetables,"2 cups filtered or spring water
1/2-1 tablespoon sea salt
2-4 cloves garlic
2 tablespoons fresh dill
2-4 cups chopped vegetables, enough to fill your jar
Possible vegetables:
Carrots
Cauliflower
Cucumber
Green beans
Radishes","Method
Dissolve the salt in the water.
Put the garlic, dill and vegetables in a wide mouth quart jar.
Pour the salt water over the vegetables until they are covered.
If they float, use a pickle pebble or something similar to weigh them down.
Cover the jar with a cloth and a rubber band, or a screw on fermentation airlock lid.
Leave the jar at room temperature out of direct sunlight.
Check daily to ensure the vegetables remain below the brine.
Taste after a few days. If they are sour enough for your liking, move them to the fridge."
699,https://veganuary.com/recipes/grilled-avocado-black-bean-salsa/,Grilled Avocado with Black Bean Salsa,"For the salsa:
1 can black beans, drained and rinsed
1/2 small red onion, finely chopped
1 red chilli, deseeded and finely chopped
1 avocado, finely diced
10 cherry tomatoes, quartered
1 lime, juiced
Large handful coriander, finely chopped
Sea salt
For the avocado:
2 ripe avocados, halved and stones removed
rapeseed oil
Few lettuce leaves to serve","Preparation
Method
For the salsa:
Mix all ingredients together and season generously.
For the avocado:
Heat a griddle pan until very hot. Brush the avocados with a little rapeseed oil and season with salt. Chargrill flesh side down for 2-3 minutes until grill marks appear.
Serve the avocados on a platter with the salsa spooned into the middle. Scatter around the lettuce leaves."
919,https://simple-veganista.com/collard-greens-and-white-beans/,VEGAN COLLARD GREENS,"1 tablespoon olive oil or 1/4 cup water
1 red onion, sliced
3 cloves garlic, minced
16 oz. collard greens, sliced
1 can (15 oz.) fire roasted tomatoes, diced
1 can (15 oz.) cannellini beans, drained and rinsed, optional
juice of 1/2 lemon
mineral salt & cracked pepper, to taste
optional red pepper flakes","Instructions Saute: Heat oil in a large skillet over medium heat, add onion, and saute 5 minutes. Add the garlic, saute 1 minute more.
Cook: Add collards, tomatoes, lemon juice, and salt & pepper, cook another 5 minutes. Add optional beans, and continue to cook, stirring occasionally, until collards are wilted and beans are heated through. I prefer my collards al dente and cooked for about 5 extra minutes. Ending cooking time will vary depending on how soft you like your collards. Add the vegetable broth if using and cook until it mostly dissipates.
Serve warm with a side of vegan cornbread and a dash or two of hot sauce.
Serves 4
Store: Leftovers can be stored in the refrigerator for 4 - 5 days."
969,https://simple-veganista.com/flax-evo-balsamic-vinaigrette/,HEALTHY FLAX & EVO BALSAMIC VINAIGRETTE,"1/3 cup extra virgin olive oil
1/4 cup balsamic vinegar
2 tablespoons water
2 tablespoons finely minced shallot or red onion
1 tablespoon ground flax
1/2 teaspoon garlic powder
1/2 teaspoon dijon
mineral salt & fresh cracked pepper, to taste","Instructions Simply combine all the ingredients in a small bowl, whisk together and serve.
Makes about 3/4 cup
Store: Leftovers can be kept in a covered container in the refrigerator for up to 1 week."
1019,https://simple-veganista.com/almond-parmesan-recipe/,AMAZING ALMOND PARMESAN,"1 cup almonds
1/4 cup nutritional yeast
1/2 teaspoon garlic powder
1/4 teaspoon mineral salt
dash of white pepper","Instructions Place ingredients in food processor and pulse until finely ground. Makes about 1 1/4 cups
Store: Keep in the pantry or refrigerator for up to 1 month."
1029,https://simple-veganista.com/fresh-corn-salsa/,FRESH CORN SALSA,"2 cups corn, fresh cut from the cob or frozen
2 tablespoons red onion, diced
1 small tomato, diced
1/4 cup cilantro, chopped
juice of 1 lime
pinch of mineral salt","Instructions If using frozen corn, let thaw. Combine all ingredients in a small bowl and serve.
Makes 1 1/2 cups."
1059,https://simple-veganista.com/spinach-artichoke-white-bean-dip/,Spinach & Artichoke White Bean Dip,"1 can (15 oz.) white beans or cannellini, drained and rinsed
1 can (14 oz.) artichoke hearts, drained
1/4 cup nutritional yeast
juice of 1 lemon
1 - 2 cloves garlic
2 handfuls (about 2 packed cups) spinach
mineral salt & pepper, to taste","Instructions In the bowl of food processor/blender, add the white beans, artichokes, nutritional yeast, lemon, garlic, spinach and salt & pepper, blend until smooth. Taste for flavor.
Serve with chips, crackers or vegetable sticks.
Makes 2 1/2 - 3 cups"
1109,https://simple-veganista.com/maple-dijon-dressing-recipe/,MAPLE DIJON DRESSING - SINGLE SERVE RECIPE,"1 tablespoon maple syrup
1 tablespoon apple cider vinegar
1 teaspoon dijon
2 teaspoons extra virgin olive oil
1 tablespoon water
mineral salt & pepper, to taste","Instructions Add ingredients to a small bowl or jar and mix well. Makes about 1/4 cup, or enough for a single large salad."
1209,https://simple-veganista.com/simple-kale-chips/,CRISPY BAKED KALE CHIPS,"1 bunch of kale (curly or flat)
1 tbsp olive oil (I usually use a little less)
Flavor options:
mineral salt
cracked pepper
garlic powder
nutritional yeast
za'atar
spice blend (cajun or chili powder)
or whatever you feel like using...","Instructions Preheat oven to 325 degrees F.
Prep: Wash kale thoroughly and pat dry. Remove leaves from stem and break up into the medium sized chunks, about 1 - 2 inch pieces.
Add oil + seasoning: Put leaves into a large bowl and drizzle with olive oil. Massage until coated. Add herbs/spices and toss to coat.
Layer: Lay pieces on a baking sheet lined with parchment paper making sure to keep a little space between. Don't overcrowd them or they may not cook evenly and take longer to cook. Use two baking sheets if needed.
Bake: Place them in the oven on the middle rack for about 10 min. Check after 6 minutes or so and flip any that seem to be browning too much on the edges."
1219,https://simple-veganista.com/how-to-roast-peppers/,HOW TO ROAST & STORE RED PEPPERS (OR ANY PEPPER REALLY!),"1 - 8 peppers, any color
If making a large batch and storing in the freezer
parchment paper
air tight containers that are freezer safe
For storing in jars
vinegar (plain, balsamic, white/red wine, or apple cider)
mineral salt
olive oil
clean pint sized mason jars","Instructions PREPPING PEPPERS:
There are two ways to prepare your peppers for roasting.
The first is to simply roast the whole pepper, seeds, stem and all. (This will work with all roasting methods.)
The second is to slice the peppers in half lengthwise, remove the stem and seeds, and place on the baking sheet cut side down. (Use this method for the oven method and/or when using a baking sheet. These peppers require no flipping, only rotating of the baking sheet. This is my favorite way of roasting peppers.)
ROASTING METHODS:
Oven: Preheat oven to 475 degrees F. Line a baking sheet with parchment or a Silpat.
Place peppers on baking sheet. Bake 4 - 5 inches from the flame. If using an electric oven or there is no flame, place baking sheet on the middle rack. Roast peppers for 40 minutes, turning at least once during cooking using sturdy tongs (if peppers are sliced in half no need to turn, just rotate the baking sheet 180 degrees). They are ready when charred/blackened and blistered. Whole peppers will still be full of air and puffy once removed from the oven. As the peppers cool they will deflate and become wrinkly looking.
Broiler: I used to have an oven where the broiler was underneath the oven, now mine is in the oven. Either way, turn broiler to medium - high (or 500 degrees if yours is by numbers) and char peppers turning every so often until browned and blackened. If you've prepped your peppers by slicing in half, no need turn the peppers, simply adjust the baking sheet turning it to get all the peppers charred. This may take anywhere from 15 - 25 minutes.
Open Grill: Place whole peppers on their sides over an open flame on the grill, turning every now and then until nicely charred all over. Depending on how big your grill is will determine how many you can do at one time.
Stove Top: If roasting just 1 or 2 peppers, you can roast it over the gas burner of your stove (I suppose you could do 4 peppers utilizing each burner). Place pepper on its side and adjust the flame so it 'licks' the peppers. Keep an eye on it and turn it as needed to blacken and char, about 15 - 20. This tends to be a more time consuming method since you have to be so watchful.
STEAMING & PEELING:
While peppers are hot from the oven, carefully place them in a bowl and cover with a plate, or use a pot with lid. The goal is to steam the peppers making the skin peel easily. Let the peppers steam for about 30 minutes. Once peppers are cool, remove the skins, stems and seeds. I find it easiest to peel the pepper from the bottom to the top. A few seeds left are fine. Do not run peppers under water to clean, you'll lose most of the roasted flavor that you worked so hard get. Keep as much of the pepper juices as you can if storing leftovers.
From here you can use right away to make hummus, romesco, soups, layer on sandwiches and toss in salads, etc.
STORING:
Rerfrigerator: Great for short term storage.
Keep leftovers in an airtight container in the refrigerator for up to a 5 - 6 days.
If you coat them with a little oil they will for a couple of weeks. You can even add some of the pepper juices to the container.
To always be safe, at the first sign of mold or spoilage, throw away immediately.
If storing for longer, you have a couple simple options:
Freezing: This is my favorite method of long term storing, as it is not blended with any other flavors, it's super easy to do, and they thaw out amazingly well.
Freeze your peppers in a tightly sealed container. They thaw out pretty fast once removed from the freezer making this a nice way of preserving your precious peppers.
This method of storing is a neutral way of keeping the full roasted flavor intact as they won't be tainted with any other flavors.
I would suggest cutting and placing a small piece of parchment paper between the peppers for easy removal.
Will last up to 2 months.
Vinegar Method: This is method will leave your peppers with a little bit of tang from the vinegar, in some cases it may overpower them, but it's a great way to store them. Use these peppers for sauces, dips, and soups.
Place peppers in a jar with a little salt, vinegar and pepper juices.
To do this you'll want to sprinkle your peppers with a generous pinch of mineral salt and mix well.
Place 1/2 inch of vinegar at the bottom of your pint sized mason jar, add peppers leaving about 1 1/2 inches headspace.
Using the handle of a spoon or fork, poke along the inside edges of the jar to release air bubbles (this is important), pour reserved pepper juices over top so peppers are completely covered, leaving 3/4 inch room.
Add about 1/8 inch of olive oil over top to keep air out, leaving 1/2 inch headspace.
Seal and place towards the back of the refrigerator. Will be good for up to 2 months, maybe even a little longer.
If you see any sign of mold or spoilage, throw away immediately!"
1249,https://simple-veganista.com/homemade-tahini/,Homemade Tahini,"3 cups hulled sesame seeds (1 lb.) (I used Bob's Red Mill)
optional generous pinch of salt, or to taste
1 1/2 - 2 tablespoons oil (sesame, light olive oil, avocado, canola, etc.) *see notes
1/2 - 1 teaspoon garlic powder","Instructions First, you may want to toast your seeds to bring out the most flavor, but this is optional. You want your seeds to become fragrant and slightly darker during the process.
Toast your seeds one of two ways:
Preheat oven to 350. Place seeds on a roasting pan or rimmed cookie sheet and roast for about 10 - 15 minutes making sure to move them around every few minutes so the seeds on the bottom don't burn.
OR
Dry roast over medium-low heat in a skillet using one cup at a time (add more or less depending on your skillet). Be sure to move the seeds around frequently to ensure that they don't burn.
Process the sesame seeds: Once you have toasted your seeds and they have cooled a bit, place them in your food processor or high-speed blender (add optional salt/garlic powder), and process until creamy, stopping to scrape down the sides a few times. The process will take approximately 5 - 10 minutes to blend depending on your equipment.
Makes about 1 1/2 cups.
Store: Keep in the pantry for 1 month (maybe more), in an airtight container. For maximum freshness, store it in the fridge for up to 6 months."
1259,https://simple-veganista.com/tahini-miso-dressing-dip/,TAHINI MISO DRESSING-DIP,"1/4 cup tahini
1 tablespoon white miso (I like Miso Master)
1 tablespoon pure maple syrup
juice of 1 lemon
1 tablespoon tamari (can sub with soy sauce or mineral salt to taste)
pinch or two red pepper flakes, optional
1 - 4 tablespoons water, + more as needed","Instructions In a small to medium size bowl, combine all ingredients adding the water in small increments until desired thickness/thinness. Taste for flavor and serve as desired. Use less water for dips and sauces and more water for salad dressings.
Typically this will serve 4 - 6 depending on how much extra is added.
Store: Leftovers can be stored in the refrigerator for up to 5 - 6 days."
1269,https://simple-veganista.com/tomatillo-sauce/#comment-22538,TOMATILLO SALSA VERDE,"2 lbs. tomatillos, husks removed, rinsed well and quartered
1 small red onion (about 1 cup), diced
2 cloves garlic, minced
2 jalapenos, seeds removed and diced (a few seeds are ok for heat)
2 cups low-sodium vegetable broth
1/2 teaspoon mineral salt, + more to taste
1/2 cup chopped cilantro (I like a cilantro + parsley combo)","Instructions Simmer: In a medium pot, add the tomatillos, onion, garlic, jalapeno, and vegetable broth and bring to a boil, cover, reduce heat to low and simmer for 15 minutes.
Blend: Let cool a few minutes and gently transfer to a blender. Add the cilantro and/or parsley and process until smooth. Taste for flavor, adding more salt as needed.
Makes about 6 cups
Store: Leftovers can be kept in the refrigerator for up to 5 - 6 days in a covered container. For longer storage, freeze for up to 2 - 3 months. To freeze, let cool completely and store in freezer safe containers leaving 1/2 inch of head space for expansion. Let thaw in the refrigerator before using."
1369,https://simple-veganista.com/kimchi/,VEGAN KIMCHI,"1 medium Napa cabbage, about 2 lbs (savoy, green or any combo works too)
1/4 cup kosher, sea salt or other coarse salt
6 cups water
3/4 sweet apple (I used fuji), chopped
1/2 small white onion, chopped
1 1/2 inch ginger, chopped
1 - 2 cloves garlic
3 tablespoons Korean red chili powder (gochugaru) or 1 tablespoon each cayenne & Hungarian paprika
3 - 4 scallions (green onions), sliced 1 inch","Instructions Preparing Cabbage: Quarter cabbage and chop laterally into about 2 inch pieces. Place cabbage in an extra large bowl or pot. Combine salt with 2 cups of lukewarm water, stir to dissolve salt. Pour salt water over the cabbage and add remaining 4 cups, stir to mix. If you can, place a plate or circular baking dish of sorts on top to submerge the cabbage (I used a pie dish), place something with a good amount of weight on top to hold down if necessary (it's not completely necessary but will help to evenly wilt the cabbage). Give cabbage a good mix every now and then. Let soak for 2 hours, up to 12 if you like. I found that 2 - 4 hours was enough and didn't see much change between the two times.
Make your seasonings: While cabbage is soaking, combine apple, onion, ginger and garlic in food processor/blender and process until fairly smooth.
In a small bowl, mix the chili pepper with a small amount of water to make a wet paste. You can just as easily blend it with the apple/onion mixture adding a couple tablespoons of water as well.
Mix everything together: Once cabbage is ready, drain water, reserving 1/2 cup, and rinse well. Place cabbage back in large bowl, combine with the scallions, apple/onion mixture and chili paste. Mix well to coat all pieces. Either use your hands (with gloves on pref to protect from the chili pepper) or simply use wooden spoons to toss everything.
Packing: Place the kimchi in glass jars or containers with lid, pack down the best you can to close air pockets and leave about an inch at the top for air and gases. Top with remaining juices, add reserved brine if needed to cover vegetables.
Fermenting: Let kimchi sit at room temp (or in a cool place like a pantry or closet if weather is extremely warm) for 24 - 36 hours. After 24 hours, open kimchi and pack the mixture down with a spoon (the cabbage will have likely shrunk and you'll have more liquids). You may notice it bubbling, this is perfectly normal as the kimchi is fermenting. As your kimchi ferments the flavors will develop, taste every 24 hours and place kimchi in the refrigerator once you're happy with the taste and to slow fermentation, usually after 36 - 48 hours. It should be tangy, spicy and slightly sweet. After moving to the fridge, it's best used within a month, maybe two.
Makes about 3 - 4 cups
Serve with rice, use in Kimchi Fried Rice or make Kimchi Tofu Scramble!"
